"gid","gname","gring"
1381108,"j01_d20200204_t1117289_e1118534_b11465","0103000020E61000000100000007000000AD6EF59CF43F64C0EF5633BE714ADBBFA7AE7C96E79062C094CD661F753505C0F584251E50E360C0756506E0556512C0742497FF900261C0596C938AC64223C075ABE7A4F7B462C0FB230C0396BC1EC01EA7E8482E6764C08272DBBE47AD15C0AD6EF59CF43F64C0EF5633BE714ADBBF"
1381108,"j01_d20200204_t1117289_e1118534_b11465","0103000020E610000001000000070000009D11A5BDC14564C01D77E7DC2F17DDBFE9482EFF217462C08F1D54E23A5606C05CACA8C1343560C0D4C8F841A77115C09E5E29CB105160C08D98D9E7317224C0EB56CF49EF9762C0E1D40792774E1FC0C6850321596C64C0E3A7716F7E5315C09D11A5BDC14564C01D77E7DC2F17DDBF"
1376678,"j01_d20200204_t1118547_e1120192_b11465","0103000020E61000000100000007000000C898BB96906C64C05FEE93A3005115C0A03715A9309862C0216D2DDD6E531FC072C45A7C0A5160C0D93D7958A84D24C03B53E8BCC66860C0C90050C58D0B2EC09A081B9E5EBC62C00E164ED2FCB929C0179F02603C9764C07A89B14CBF5C24C0C898BB96906C64C05FEE93A3005115C0"
1376678,"j01_d20200204_t1118547_e1120192_b11465","0103000020E61000000100000007000000C898BB96906C64C05FEE93A3005115C0A03715A9309862C0216D2DDD6E531FC072C45A7C0A5160C0D93D7958A84D24C03B53E8BCC66860C0C90050C58D0B2EC09A081B9E5EBC62C00E164ED2FCB929C0179F02603C9764C07A89B14CBF5C24C0C898BB96906C64C05FEE93A3005115C0"
1376678,"j01_d20200204_t1118547_e1120192_b11465","0103000020E61000000100000007000000A9BC1DE1B46664C03013A001503815C0950ED6FF39B562C068CEFA9463C21EC0E5B8533A580261C0BB7F2C44870823C092AE997CB31E61C0390EBC5AEE1C2DC04E97C5C4E6D962C0D55B035B257029C0B7EEE6A90E9264C0058A58C4B08B24C0A9BC1DE1B46664C03013A001503815C0"
1376678,"j01_d20200204_t1118547_e1120192_b11465","0103000020E61000000100000007000000DF37BEF6CC6664C0460A65E1EB3315C0B5A679C729B562C09276A38FF9C01EC0431CEBE2360261C085268925E50623C0E86A2BF6971E61C0BBD573D2FB1E2DC019390B7BDAD962C0D0ECBAB7227129C0BCE82B48339264C058207A52268D24C0DF37BEF6CC6664C0460A65E1EB3315C0"
1374590,"j01_d20200204_t1254135_e1255363_b11466","0103000020E61000000100000007000000D49AE61DA7F76540187C9A9317C12F404A41B79734DA67402E39EE940EEE2B408351499D801D6A407FBE2D58AADB2440AED85F764FF2694059130B7C45F7164073A25D8594B567407044F7AC6B142240F33CB83B6BDC6540971C774A071B2640D49AE61DA7F76540187C9A9317C12F40"
1374590,"j01_d20200204_t1254135_e1255363_b11466","0103000020E6100000010000000700000043041C4295FD654076A6D0798DD52F404F0647C9ABBC674086AA984A3F392C40029A081B9E7069400A86730D334C2740890CAB7823466940FEBC0402F81A1B40F415A4198B98674074EACA67795E22407233DC80CFE16540709692E524F4254043041C4295FD654076A6D0798DD52F40"
1374590,"j01_d20200204_t1254135_e1255363_b11466","0103000020E61000000100000007000000FD9FC37C79FD654070D234289AD72F4064AF777FBCBC6740601F9DBAF2392C40AF7C96E7C1706940DC0DA2B5A24D274077DB85E63A4669403ECC5EB69D161B408F5374249798674049A12C7C7D5D2240787FBC57ADE16540C0EB33677DF22540FD9FC37C79FD654070D234289AD72F40"
1373569,"j01_d20200204_t1255375_e1257020_b11466","0103000020E61000000100000007000000431CEBE236DC65406D6FB724071C26407715527E52B56740802C4487C01122406AC18BBE82F269405342B0AA5E3E1740EA211ADD41CB6940485B4BB7DBE4EF3F401361C3D3906740DCA0F65B3B011040A514747B49BD6540C1F80E23298E1840431CEBE236DC65406D6FB724071C2640"
